episode,score,survival_s,reward,epsilon,loss
0,60,467,35.2,1.000,0.0000
1,80,588,54.0,0.994,0.0792
2,87,533,61.6,0.987,0.0607
3,107,644,80.0,0.981,0.0516
4,44,393,19.0,0.975,0.0588
5,96,602,69.9,0.968,0.0600
6,78,516,51.9,0.962,0.0569
7,92,629,64.8,0.956,0.0557
8,111,612,84.7,0.949,0.1648
9,74,544,47.6,0.943,0.1299
10,97,653,71.0,0.937,0.1161
11,113,676,85.2,0.930,0.1082
12,23,320,-1.4,0.924,0.1085
13,59,534,33.2,0.918,0.1051
14,74,593,48.3,0.911,0.0983
15,56,494,30.4,0.905,0.1288
16,49,462,24.1,0.899,0.0951
17,39,365,14.6,0.892,0.0889
18,70,579,44.3,0.886,0.0845
19,90,645,63.5,0.880,0.0764
20,65,451,40.2,0.873,0.0761
21,63,514,37.6,0.867,0.0834
22,31,393,5.9,0.861,0.0774
23,25,312,-0.5,0.854,0.0785
24,88,633,60.8,0.848,0.0932
25,11,247,-12.3,0.842,0.0841
26,28,342,3.7,0.835,0.0781
27,50,444,24.6,0.829,0.0703
28,40,468,14.1,0.823,0.0735
29,47,443,22.7,0.816,0.0795
30,81,542,53.8,0.810,0.0641
31,61,504,36.0,0.804,0.0774
32,66,488,40.6,0.797,0.1004
33,63,502,37.4,0.791,0.0979
34,21,400,-3.8,0.785,0.0766
35,152,761,122.5,0.778,0.0782
36,115,657,87.8,0.772,0.0785
37,95,650,67.6,0.766,0.0837
38,42,399,15.8,0.759,0.0778
39,76,490,49.7,0.753,0.0805
40,89,624,63.0,0.747,0.1072
41,127,740,96.2,0.740,0.0955
42,58,529,32.5,0.734,0.0972
43,136,757,108.4,0.728,0.0898
44,121,659,91.9,0.721,0.0824
45,77,602,49.4,0.715,0.0873
46,49,473,23.7,0.709,0.1054
47,96,638,68.8,0.702,0.0946
48,53,547,25.6,0.696,0.0933
49,94,645,66.8,0.690,0.0895
50,107,660,80.3,0.683,0.0934
51,89,577,64.0,0.677,0.0816
52,83,601,56.0,0.671,0.0945
53,47,419,22.8,0.664,0.1106
54,71,553,45.4,0.658,0.0952
55,64,529,39.5,0.652,0.0879
56,77,610,49.0,0.645,0.0846
57,83,510,56.1,0.639,0.0893
58,61,529,35.3,0.633,0.0837
59,96,669,68.1,0.626,0.0868
60,66,485,40.2,0.620,0.1099
61,137,753,107.4,0.614,0.0958
62,48,422,24.1,0.607,0.1080
63,70,542,42.3,0.601,0.1012
64,90,556,64.4,0.595,0.1003
65,136,754,107.3,0.588,0.0947
66,101,668,71.0,0.582,0.0942
67,81,540,54.6,0.576,0.1130
68,143,746,116.0,0.569,0.1060
69,101,656,73.4,0.563,0.1052
70,69,534,43.8,0.557,0.0939
71,51,479,24.8,0.550,0.1027
72,81,588,55.7,0.544,0.0955
73,182,851,152.3,0.538,0.1158
74,93,672,64.2,0.531,0.1042
75,38,434,12.3,0.525,0.1124
76,138,720,109.8,0.519,0.1052
77,97,660,67.7,0.512,0.1005
78,122,662,96.4,0.506,0.1018
79,100,660,70.4,0.500,0.1313
80,88,552,61.6,0.493,0.1167
81,63,510,36.4,0.487,0.1135
82,54,434,28.5,0.481,0.1196
83,114,679,85.3,0.474,0.1087
84,215,906,186.6,0.468,0.1123
85,120,740,89.5,0.462,0.1213
86,207,928,176.3,0.455,0.1305
87,148,770,118.5,0.449,0.1302
88,17,274,-6.0,0.443,0.1288
89,74,549,49.4,0.436,0.1080
90,91,625,66.0,0.430,0.1146
91,99,611,72.1,0.424,0.1012
92,97,596,72.4,0.417,0.1268
93,99,580,72.3,0.411,0.1324
94,166,776,137.5,0.405,0.1203
95,111,666,83.3,0.398,0.1224
96,97,605,71.8,0.392,0.1314
97,67,565,41.8,0.386,0.1083
98,73,537,45.2,0.379,0.1320
99,72,482,46.1,0.373,0.1329
100,90,596,66.3,0.367,0.1254
101,87,586,60.6,0.360,0.1232
102,102,564,74.7,0.354,0.1265
103,107,763,81.5,0.348,0.1272
104,93,606,69.2,0.341,0.1303
105,117,697,89.9,0.335,0.1478
106,144,760,117.5,0.329,0.1434
107,54,448,30.1,0.322,0.1338
108,91,585,64.1,0.316,0.1458
109,59,479,34.2,0.310,0.1363
110,83,543,57.4,0.303,0.1306
111,86,519,61.4,0.297,0.1365
112,122,675,94.5,0.291,0.1462
113,195,927,163.2,0.284,0.1439
114,90,609,62.6,0.278,0.1405
115,74,488,48.8,0.272,0.1398
116,145,770,118.2,0.265,0.1292
117,90,555,65.4,0.259,0.1251
118,182,865,155.1,0.253,0.1583
119,133,698,107.5,0.246,0.1476
120,197,907,169.6,0.240,0.1457
121,148,817,120.5,0.234,0.1444
122,103,611,77.2,0.227,0.1394
123,133,681,103.6,0.221,0.1545
124,106,635,80.5,0.215,0.1592
125,97,592,71.6,0.208,0.1512
126,142,709,113.1,0.202,0.1477
127,195,833,163.6,0.196,0.1489
128,87,551,59.7,0.189,0.1447
129,138,756,112.3,0.183,0.1612
130,105,599,80.9,0.177,0.1685
131,196,858,157.4,0.170,0.1591
132,425,1378,388.9,0.164,0.1655
133,295,1073,258.9,0.158,0.1727
134,136,772,109.4,0.151,0.1686
135,233,949,203.4,0.145,0.1761
136,77,561,53.2,0.139,0.1759
137,117,684,93.4,0.132,0.1643
138,142,776,113.6,0.126,0.1736
139,185,823,160.8,0.120,0.1994
140,139,741,112.6,0.113,0.1769
141,144,721,116.1,0.107,0.1782
142,220,917,189.0,0.101,0.1735
143,231,998,190.4,0.094,0.1891
144,91,531,67.6,0.088,0.1972
145,173,788,143.9,0.082,0.1829
146,159,759,130.0,0.075,0.1815
147,51,480,30.7,0.069,0.1931
148,324,1125,288.1,0.063,0.1741
149,234,961,209.7,0.056,0.2050
