episode,score,survival_s,reward,epsilon,loss
0,37,374,12.2,1.000,0.0000
1,112,730,83.2,0.998,0.0671
2,89,584,61.8,0.997,0.0536
3,95,618,68.5,0.995,0.0537
4,83,605,55.6,0.994,0.0512
5,12,210,-11.6,0.992,0.0467
6,51,375,25.9,0.991,0.0452
7,63,477,36.3,0.989,0.0555
8,95,589,68.1,0.987,0.0697
9,96,626,69.3,0.986,0.1326
10,99,676,72.0,0.984,0.0990
11,72,581,45.3,0.983,0.0984
12,17,242,-6.3,0.981,0.1008
13,77,576,50.4,0.979,0.0944
14,73,614,46.9,0.978,0.0927
15,88,637,61.4,0.976,0.1025
16,71,584,44.9,0.975,0.1130
17,126,672,99.9,0.973,0.0811
18,87,614,60.8,0.972,0.0991
19,88,649,61.7,0.970,0.0870
20,36,338,11.6,0.968,0.0908
21,69,543,43.4,0.967,0.0885
22,54,469,29.2,0.965,0.0807
23,9,237,-14.7,0.964,0.1124
24,128,711,101.2,0.962,0.0893
25,66,493,40.9,0.960,0.0850
26,47,380,22.5,0.959,0.0799
27,9,231,-14.1,0.957,0.0786
28,36,426,11.1,0.956,0.0717
29,14,250,-10.0,0.954,0.0698
30,44,437,18.9,0.953,0.0810
31,79,587,52.3,0.951,0.0776
32,45,375,20.4,0.949,0.0736
33,101,626,74.9,0.948,0.1065
34,23,436,-2.3,0.946,0.0802
35,4,183,-19.2,0.945,0.0866
36,93,598,66.3,0.943,0.0781
37,13,286,-11.0,0.941,0.0655
38,14,255,-10.0,0.940,0.0889
39,62,473,36.0,0.938,0.0715
40,90,569,63.6,0.937,0.0708
41,48,456,22.6,0.935,0.0754
42,39,446,13.4,0.933,0.1076
43,135,745,107.3,0.932,0.0881
44,102,573,76.2,0.930,0.0838
45,53,527,26.0,0.929,0.0900
46,68,578,42.5,0.927,0.0829
47,40,468,14.9,0.926,0.0780
48,98,676,71.5,0.924,0.0767
49,60,542,34.1,0.922,0.1048
50,71,557,45.5,0.921,0.0889
51,36,390,11.2,0.919,0.0882
52,35,401,9.6,0.918,0.0903
53,59,441,33.8,0.916,0.0801
54,100,639,73.3,0.914,0.0920
55,24,345,-0.1,0.913,0.0901
56,75,583,49.0,0.911,0.0847
57,56,483,30.2,0.910,0.1052
58,15,285,-8.5,0.908,0.0971
59,122,705,94.0,0.907,0.0927
60,182,844,152.7,0.905,0.0897
61,73,581,46.5,0.903,0.0928
62,36,375,11.5,0.902,0.0986
63,63,531,37.9,0.900,0.0970
64,112,587,85.6,0.899,0.1041
65,111,657,83.6,0.897,0.1154
66,104,679,77.3,0.895,0.1102
67,32,319,7.4,0.894,0.1137
68,113,691,86.1,0.892,0.1126
69,51,506,25.5,0.891,0.1008
70,32,398,7.1,0.889,0.1078
71,53,517,26.8,0.888,0.0981
72,90,650,63.5,0.886,0.1122
73,48,473,22.6,0.884,0.1170
74,90,662,63.7,0.883,0.1080
75,83,612,56.1,0.881,0.1129
76,89,551,63.7,0.880,0.1129
77,67,536,41.4,0.878,0.1070
78,75,588,48.2,0.877,0.1064
79,67,542,40.0,0.875,0.1221
80,48,432,22.5,0.873,0.1254
81,55,488,28.8,0.872,0.1235
82,122,703,94.1,0.870,0.1085
83,58,535,31.7,0.869,0.1248
84,121,688,94.3,0.867,0.1109
85,70,605,42.9,0.865,0.1272
86,16,296,-7.9,0.864,0.1615
87,2,147,-20.2,0.862,0.1427
88,92,567,66.5,0.861,0.1426
89,28,354,3.6,0.859,0.1215
90,35,422,10.0,0.858,0.1267
91,160,765,130.2,0.856,0.1193
92,65,546,39.3,0.854,0.1196
93,34,375,8.7,0.853,0.1198
94,60,515,34.7,0.851,0.1184
95,98,617,72.5,0.850,0.1550
96,53,443,28.0,0.848,0.1384
97,11,247,-12.9,0.846,0.1503
98,82,567,56.2,0.845,0.1372
99,87,574,60.8,0.843,0.1313
100,101,650,74.4,0.842,0.1280
101,79,575,53.3,0.840,0.1270
102,69,542,42.4,0.839,0.1437
103,76,630,49.4,0.837,0.1490
104,123,700,96.0,0.835,0.1452
105,45,450,19.0,0.834,0.1365
106,40,406,13.4,0.832,0.1495
107,92,609,65.3,0.831,0.1505
108,24,340,-0.4,0.829,0.1411
109,28,341,4.1,0.827,0.1360
110,14,207,-9.2,0.826,0.1328
111,13,285,-11.0,0.824,0.1853
112,53,477,27.0,0.823,0.1585
113,127,746,99.3,0.821,0.1448
114,220,962,188.9,0.820,0.1471
115,82,541,55.5,0.818,0.1477
116,33,383,7.9,0.816,0.1490
117,71,533,45.8,0.815,0.1560
118,110,723,80.7,0.813,0.1798
119,140,711,111.0,0.812,0.1500
120,61,482,35.0,0.810,0.1649
121,75,568,49.2,0.808,0.1614
122,77,527,50.4,0.807,0.1651
123,62,556,34.7,0.805,0.1531
124,159,793,129.4,0.804,0.1773
125,30,382,5.5,0.802,0.1847
126,34,347,9.4,0.800,0.1671
127,203,867,174.0,0.799,0.1717
128,65,484,39.3,0.797,0.1714
129,75,561,48.5,0.796,0.1799
130,113,638,86.2,0.794,0.1575
131,112,679,85.4,0.793,0.1761
132,154,817,123.3,0.791,0.2006
133,96,585,70.2,0.789,0.2117
134,16,316,-8.2,0.788,0.1833
135,118,705,91.0,0.786,0.1887
136,66,492,41.0,0.785,0.1747
137,143,776,113.3,0.783,0.1832
138,22,359,-2.9,0.781,0.2131
139,36,401,10.6,0.780,0.2008
140,92,605,65.9,0.778,0.2159
141,96,583,69.4,0.777,0.2033
142,115,716,87.0,0.775,0.1861
143,132,772,102.3,0.774,0.1804
144,118,661,90.8,0.772,0.1989
145,11,232,-12.5,0.770,0.2220
146,91,608,65.4,0.769,0.2319
147,115,701,86.1,0.767,0.2182
148,124,712,96.2,0.766,0.2134
149,55,488,29.1,0.764,0.2232
150,31,372,5.7,0.762,0.1921
151,89,597,62.4,0.761,0.1996
152,55,493,29.7,0.759,0.2357
153,144,789,114.5,0.758,0.2352
154,12,208,-11.1,0.756,0.2318
155,61,489,36.0,0.755,0.2133
156,80,572,53.1,0.753,0.2103
157,146,767,116.5,0.751,0.2234
158,26,339,1.5,0.750,0.2221
159,53,547,27.1,0.748,0.2235
160,34,342,10.0,0.747,0.2163
161,66,539,40.4,0.745,0.2557
162,23,305,-1.1,0.744,0.2293
163,77,610,50.5,0.742,0.2456
164,41,407,16.0,0.740,0.2289
165,78,545,52.0,0.739,0.2417
166,93,638,65.8,0.737,0.2269
167,53,490,26.8,0.736,0.2539
168,45,353,20.8,0.734,0.2524
169,59,515,32.8,0.732,0.2715
170,55,473,28.0,0.731,0.2397
171,18,250,-5.8,0.729,0.2459
172,65,559,39.0,0.728,0.2502
173,114,701,86.5,0.726,0.2171
174,41,350,16.2,0.725,0.2402
175,86,675,59.6,0.723,0.2546
176,34,355,9.5,0.721,0.2431
177,164,800,134.8,0.720,0.2622
178,113,700,84.7,0.718,0.2762
179,68,509,40.9,0.717,0.2729
180,50,475,24.6,0.715,0.2652
181,35,413,10.2,0.713,0.2703
182,124,738,95.4,0.712,0.2396
183,72,506,45.9,0.710,0.2213
184,67,486,40.7,0.709,0.2997
185,49,491,23.3,0.707,0.2895
186,77,529,51.2,0.706,0.2466
187,37,391,11.5,0.704,0.2676
188,87,586,59.6,0.702,0.2563
189,56,477,29.9,0.701,0.2660
190,5,166,-17.9,0.699,0.2441
191,104,666,75.4,0.698,0.2766
192,68,536,42.0,0.696,0.3138
193,80,568,54.0,0.694,0.2987
194,52,471,27.1,0.693,0.2992
195,69,576,42.8,0.691,0.3067
196,74,535,47.2,0.690,0.2698
197,51,495,23.7,0.688,0.3225
198,19,307,-6.2,0.686,0.2756
199,181,791,152.0,0.685,0.3258
200,101,646,73.2,0.683,0.3295
201,149,776,119.0,0.682,0.3266
202,135,712,105.6,0.680,0.3172
203,78,610,52.4,0.679,0.3149
204,40,392,15.5,0.677,0.3197
205,49,447,22.6,0.675,0.2930
206,42,417,16.5,0.674,0.3347
207,37,381,12.4,0.672,0.3351
208,103,662,74.9,0.671,0.3047
209,42,512,15.6,0.669,0.2843
210,59,457,32.5,0.667,0.3140
211,75,569,49.8,0.666,0.3191
212,17,301,-7.8,0.664,0.2953
213,89,602,63.2,0.663,0.3100
214,76,548,48.4,0.661,0.3041
215,21,311,-2.7,0.660,0.3436
216,74,515,46.6,0.658,0.3044
217,72,554,45.7,0.656,0.3306
218,81,582,53.2,0.655,0.3034
219,67,595,40.8,0.653,0.3219
220,41,427,15.5,0.652,0.3130
221,38,457,12.4,0.650,0.3200
222,19,302,-5.4,0.649,0.2970
223,99,655,72.6,0.647,0.3459
224,34,416,8.8,0.645,0.3555
225,42,508,16.0,0.644,0.3622
226,108,729,80.8,0.642,0.3216
227,162,806,131.8,0.641,0.3377
228,89,605,62.3,0.639,0.3338
229,125,675,98.3,0.637,0.3189
230,51,420,25.3,0.636,0.3543
231,65,534,36.2,0.634,0.3301
232,106,691,76.4,0.633,0.3319
233,45,423,19.3,0.631,0.3042
234,59,486,33.0,0.629,0.3457
235,60,487,32.9,0.628,0.3390
236,52,490,25.8,0.626,0.3183
237,45,537,17.3,0.625,0.3384
238,39,412,14.0,0.623,0.3543
239,42,373,16.2,0.622,0.3330
240,23,364,-2.4,0.620,0.3527
241,17,246,-7.0,0.618,0.3350
242,90,577,63.4,0.617,0.3670
243,26,363,1.6,0.615,0.3487
244,58,491,31.5,0.614,0.3397
245,12,306,-13.3,0.612,0.3233
246,34,413,8.6,0.611,0.3422
247,53,461,26.3,0.609,0.3673
248,64,471,38.2,0.607,0.4088
249,111,606,81.6,0.606,0.3419
250,57,501,31.2,0.604,0.3416
251,129,703,98.7,0.603,0.3763
252,122,663,95.4,0.601,0.3693
253,59,512,32.1,0.599,0.3718
254,215,945,181.7,0.598,0.3649
255,98,631,69.5,0.596,0.3507
256,103,593,78.0,0.595,0.3968
257,79,576,52.0,0.593,0.3592
258,69,551,42.6,0.592,0.3364
259,119,733,88.0,0.590,0.3387
